time,ground_pelvis_0,ground_pelvis_1,ground_pelvis_2,ground_pelvis_4,hip_r_0,hip_r_1,knee_r_0,ankle_r_0,hip_l_0,hip_l_1,knee_l_0,ankle_l_0
0.0,-0.00035874864617188487,-0.032239932349702224,0.06396407111947401,0.9289733610847637,0.1893366183031054,0.03711235975311735,-0.18708635024670148,0.019233287717024438,0.07293396770293577,-0.06663618901311398,-0.9398314952641048,-0.34020009631440123
9.999999994736442e-09,-0.0003587485860320365,-0.03223992912974819,0.06396407300344566,0.9289733628342882,0.18933659988026236,0.03711235786721336,-0.18708634213287423,0.019233298045302976,0.07293399810438181,-0.06663618535203997,-0.9398315189842933,-0.3402000495787593
2.9999999984209325e-08,-0.0003587484657481006,-0.0322399226898485,0.06396407677138782,0.9289733663333375,0.18933656303457191,0.0371123540954166,-0.18708632590521718,0.019233318701828733,0.0729340589072666,-0.06663617802990264,-0.9398315664246457,-0.3401999561075327
6.999999999091067e-08,-0.000358748225163272,-0.032239909810082616,0.06396408430726765,0.9289733733314375,0.18933648934317335,0.037112346551867945,-0.1870862934498929,0.01923336001475496,0.07293418051300704,-0.0666361633856708,-0.9398316613052525,-0.340199769165308
1.5000000000431335e-07,-0.0003587477439257877,-0.032239884050684814,0.06396409937900921,0.9289733873276428,0.18933634196030552,0.03711233146495011,-0.18708622853920354,0.01923344264010627,0.07293442372437127,-0.06663613409737838,-0.9398318510660735,-0.34019939528177295
3.1000000000336314e-07,-0.0003587467811795093,-0.0322398325324251,0.06396412952242005,0.9289734153200748,0.18933604719428718,0.03711230129183237,-0.1870860987176618,0.019233607888804346,0.07293491014663317,-0.0666360755214786,-0.9398322305861451,-0.34019864751836065
6.300000000014627e-07,-0.0003587448546017051,-0.03223972949804921,0.06396418980895255,0.928973471305025,0.18933545766111964,0.037112240948468544,-0.18708583907392612,0.019233938378182564,0.07293588298929075,-0.06663595837241928,-0.9398329896200068,-0.340197152006167
1.2699999999976619e-06,-0.00035874099710503994,-0.032239523437871453,0.06396431038086096,0.9289735832752691,0.18933427859026108,0.03711212027322739,-0.18708531978384585,0.019234599324869192,0.07293782866714103,-0.06663572408526147,-0.9398345076626049,-0.34019416104030425
2.5499999999900602e-06,-0.00035873326474694856,-0.03223911135181126,0.06396455152005201,0.9289738072171334,0.18933192043044816,0.03711187896869006,-0.18708428119324774,0.01923592108997865,0.07294171999298156,-0.06663525555478818,-0.9398375436472993,-0.34018817934268336
5.1100000000026125e-06,-0.0003587177305675117,-0.03223828731686569,0.06396503377993573,0.928974255106366,0.1893272040384262,0.03711139654338696,-0.18708220397028624,0.01923856410726577,0.07294950252521883,-0.06663431866920286,-0.9398436152146814,-0.3401762168839124
1.0229999999999961e-05,-0.0003586863843229701,-0.032236639795621594,0.06396599822574715,0.9289751509068472,0.1893177709646945,0.03711043242779955,-0.18707804935718375,0.01924384809109923,0.07296506711189057,-0.06663244559941207,-0.93985575674142,-0.34015229571266925
2.046999999999466e-05,-0.0003586225800462894,-0.03223334694729326,0.0639679268218416,0.9289769425958764,0.18929890365767738,0.03710850713614909,-0.1870697394613245,0.019254407863679605,0.07299619437381938,-0.06662870226481506,-0.9398800333628098,-0.3401044683586765
4.0949999999984055e-05,-0.0003584905226397565,-0.03222677002368477,0.06397178283421796,0.9289805263261964,0.18926116439936688,0.03710466830635859,-0.18705311698368546,0.019275494691284985,0.07305844125067612,-0.06662122681106644,-0.9399285608774456,-0.34000887363062704
8.19099999999906e-05,-0.0003582086027779624,-0.0322136512373227,0.06397949015712796,0.9289876951955256,0.18918566726271946,0.03709703762126816,-0.18701986122919814,0.019317537975409086,0.07318290441008397,-0.06660632072603043,-0.940025512997135,-0.33981792429516516
0.0001638300000000037,-0.00035757352606433784,-0.032187553616553,0.06399488611974212,0.9290020385612496,0.18903459825006422,0.037081963788045146,-0.18695330612330505,0.019401107011114218,0.07343170836817839,-0.06657668747855214,-0.9402190056427716,-0.3394369876062091
0.0003276700000000021,-0.00035601916103102376,-0.03213591522798416,0.06402560408777991,0.9290307476694152,0.18873216040444013,0.03705256270050104,-0.18682001896733996,0.019566206143470266,0.07392882793524531,-0.06651813293370029,-0.9406043452204176,-0.3386789724610419
0.0005776700000000023,-0.0003529261694063199,-0.03205853450321939,0.0640722879482534,0.9290746107360558,0.18826991067273713,0.037009597761634004,-0.18661617724448684,0.019813025832249392,0.0746861285946569,-0.06643059275972052,-0.941188103189902,-0.3375322797966548
0.0008276700000000026,-0.00034898715781777717,-0.03198282366372669,0.06411874507652388,0.9291185394237941,0.18780675674933872,0.03696888203064091,-0.18641177462319222,0.020053905064682548,0.07544195643819386,-0.06634518805280085,-0.9417667704186696,-0.33639763097255526
0.0010776700000000028,-0.0003442426829783093,-0.0319087293314495,0.06416497273912995,0.9291625298462407,0.18734273935909637,0.03693035454788159,-0.18620681698668884,0.02028910072025684,0.07619635770876815,-0.06626185100259478,-0.9423403653055112,-0.33527502024332473
0.001327670000000003,-0.0003387436434329445,-0.0318361878520501,0.06421096512489653,0.929206577261071,0.1868779134752622,0.03689394323049877,-0.18600131869107503,0.02051887635684233,0.07694938944112595,-0.06618050081412502,-0.9429089104919913,-0.33416440559853133
0.0015776700000000032,-0.00033254906912136967,-0.03176512689536827,0.06425671370230812,0.929250676246804,0.18641234533042778,0.036859566643556975,-0.1857953010859224,0.020743502525774008,0.07770111693827306,-0.06610104577142091,-0.9434724321366563,-0.33306571131791696
